,week_day,route_id,start_time,travel_time,month_day,stop_id
0,1,0,38050,121,7,0
1,1,0,39236,114,7,0
2,1,0,40334,113,7,0
3,1,0,40726,105,7,0
4,1,0,41499,106,7,0
5,1,0,41995,73,7,0
6,1,0,42620,95,7,0
7,1,0,43263,118,7,0
8,1,0,44389,101,7,0
9,1,0,44787,93,7,0
10,1,0,45264,113,7,0
11,1,0,45801,101,7,0
12,1,0,46931,90,7,0
13,1,0,47372,107,7,0
14,1,0,47803,111,7,0
15,1,0,48387,196,7,0
16,1,0,48821,103,7,0
17,1,0,49156,102,7,0
18,1,0,49771,123,7,0
19,1,0,50051,135,7,0
20,1,0,50581,182,7,0
21,1,0,51235,186,7,0
22,1,0,51887,104,7,0
23,1,0,52646,108,7,0
24,1,0,53441,213,7,0
25,1,0,53833,105,7,0
26,1,0,54276,145,7,0
27,1,0,54472,103,7,0
28,1,0,55051,91,7,0
29,1,0,56062,210,7,0
30,1,0,56958,111,7,0
31,1,0,57426,100,7,0
32,1,0,57931,132,7,0
33,1,0,58641,88,7,0
34,1,0,59105,164,7,0
35,1,0,59954,99,7,0
36,1,0,60148,128,7,0
37,1,0,60535,91,7,0
38,1,0,61263,117,7,0
39,1,0,61638,96,7,0
40,1,0,62263,114,7,0
41,1,0,62876,126,7,0
42,1,0,63574,130,7,0
43,1,0,64058,151,7,0
44,1,0,64168,169,7,0
45,1,0,64914,94,7,0
46,1,0,65467,135,7,0
47,1,0,66128,99,7,0
48,1,0,66843,218,7,0
49,1,0,67333,153,7,0
50,1,0,68458,124,7,0
51,1,0,68778,112,7,0
52,1,0,68894,185,7,0
53,1,0,69457,91,7,0
54,1,0,69856,183,7,0
55,1,0,70428,122,7,0
56,1,0,71186,165,7,0
57,1,0,71633,189,7,0
58,1,0,72122,138,7,0
59,1,0,72650,127,7,0
60,1,0,73435,107,7,0
61,1,0,73645,179,7,0
62,1,0,74090,122,7,0
63,1,0,74656,133,7,0
64,1,0,75061,107,7,0
65,1,0,75602,128,7,0
66,1,0,76226,91,7,0
67,1,0,76509,86,7,0
68,1,0,77281,136,7,0
69,1,0,78155,124,7,0
70,1,0,78457,141,7,0
71,1,0,78840,109,7,0
72,1,0,79267,111,7,0
73,1,0,79892,92,7,0
74,1,0,80707,99,7,0
75,1,0,81053,96,7,0
76,1,0,81523,159,7,0
77,1,0,81960,98,7,0
78,1,0,83007,138,7,0
79,1,0,83950,94,7,0
80,1,0,85158,156,7,0
