,date,rmse,mae
0,2023-07-05,35.82,20.6
1,2023-07-06,38.86,18.93
2,2023-07-07,31.53,18.6
3,2023-07-08,32.73,18.06
4,2023-07-09,28.54,16.31
5,2023-07-10,34.37,19.0
6,2023-07-11,48.82,24.91
7,2023-07-12,30.46,18.48
8,2023-07-13,32.83,18.69
9,2023-07-14,40.5,20.65
10,2023-07-17,33.46,22.1
11,2023-07-18,27.87,16.07
12,2023-07-19,35.41,18.49
13,2023-07-20,25.78,16.14
14,2023-07-21,26.71,16.11
15,2023-07-22,32.3,18.42
16,2023-07-23,30.21,15.6
17,2023-07-24,93.36,19.23
18,2023-07-25,31.03,16.28
19,2023-07-26,44.6,19.58
20,2023-07-27,36.91,20.42
21,2023-07-28,48.33,24.27
22,2023-07-29,42.8,24.66
23,2023-07-30,36.1,20.8
24,2023-07-31,44.99,24.18
25,2023-08-01,46.03,24.29
26,2023-08-02,45.69,19.65
27,2023-08-03,32.75,19.2
28,2023-08-04,31.84,18.91
29,2023-08-05,42.71,22.23
